Fase,FechaMedicion,Voltaje,Corriente,Potencia,FactorPotencia,Frecuencia,EnergiaActiva
1,2026-02-17 01:40:00,121.77,1.69,171.85,0.837,59.97,13.756
1,2026-02-17 01:50:00,121.23,3.185,324.55,0.834,59.95,13.808
1,2026-02-17 02:00:00,121.89,1.98,200.7,0.834,59.95,13.841
1,2026-02-17 02:10:00,121.53,2.548,255.38,0.832,59.98,13.885
1,2026-02-17 02:20:00,121.29,2.088,211.73,0.842,59.95,13.921
1,2026-02-17 02:30:00,120.98,2.685,277.22,0.843,59.96,13.963
1,2026-02-17 02:40:00,121.53,2.324,232.98,0.829,59.97,14.003
1,2026-02-17 02:50:00,121.57,2.49,261.15,0.847,59.93,14.047
1,2026-02-17 03:00:00,120.72,4.756,554.24,0.941,59.96,14.145
1,2026-02-17 03:10:00,121.66,1.623,165.37,0.838,59.95,14.174
1,2026-02-17 03:20:00,121.53,2.595,262.29,0.834,59.94,14.224
1,2026-02-17 03:30:00,120.97,3.248,325.67,0.829,59.96,14.279
1,2026-02-17 03:40:00,121.22,3.153,324.83,0.84,59.94,14.333
1,2026-02-17 03:50:00,121.225,2.256,226.838,0.83,59.95,14.37
1,2026-02-17 04:00:00,121.58,2.601,261.49,0.829,59.95,14.416
1,2026-02-17 04:10:00,121.7,2.212,223.275,0.831,59.938,14.453
1,2026-02-17 04:20:00,120.88,2.807,289.84,0.841,59.98,14.497
1,2026-02-17 04:30:00,121.17,2.276,229.93,0.837,59.97,14.534
1,2026-02-17 04:40:00,121.11,2.712,278.24,0.839,59.98,14.576
1,2026-02-17 04:50:00,121.2,2.476,248.34,0.83,59.97,14.617
1,2026-02-17 05:00:00,121.43,2.134,214.1,0.828,59.94,14.655
1,2026-02-17 05:10:00,119.66,2.599,258.6,0.833,59.95,14.698
1,2026-02-17 05:20:00,121.16,1.963,198.0,0.834,59.95,14.732
1,2026-02-17 05:30:00,120.4,2.74,272.52,0.83,59.94,14.778
1,2026-02-17 05:40:00,121.52,1.852,187.1,0.834,59.94,14.81
1,2026-02-17 05:50:00,120.93,2.72,271.81,0.828,59.99,14.858
1,2026-02-17 06:00:00,121.28,1.661,168.5,0.837,59.96,14.887
1,2026-02-17 06:10:00,118.41,2.685,263.41,0.83,59.96,14.933
1,2026-02-17 06:20:00,122.19,1.877,191.05,0.838,59.99,14.962
1,2026-02-17 06:30:00,121.95,3.526,366.27,0.842,59.95,15.029
1,2026-02-17 06:40:00,122.2,1.762,180.67,0.842,59.96,15.07
1,2026-02-17 06:50:00,121.66,2.49,248.92,0.826,59.95,15.113
1,2026-02-17 07:00:00,121.86,2.079,210.92,0.836,59.95,15.147
1,2026-02-17 07:10:00,121.79,2.208,222.62,0.833,59.94,15.187
1,2026-02-17 07:20:00,121.32,2.192,220.44,0.835,59.96,15.225
1,2026-02-17 07:30:00,121.23,2.046,207.84,0.842,59.97,15.261
1,2026-02-17 07:40:00,117.07,10.324,1177.72,0.947,59.96,15.436
1,2026-02-17 07:50:00,120.26,2.495,260.81,0.854,59.95,15.492
1,2026-02-17 08:00:00,118.56,2.537,250.39,0.836,59.97,15.535
1,2026-02-17 08:10:00,118.97,2.181,226.29,0.856,59.93,15.572
1,2026-02-17 08:20:00,118.09,5.145,549.33,0.889,59.94,15.673
1,2026-02-17 08:30:00,117.71,8.335,956.25,0.968,59.97,15.845
1,2026-02-17 08:40:00,119.41,5.998,633.39,0.879,59.96,15.964
1,2026-02-17 08:50:00,117.18,11.351,1303.87,0.983,59.96,16.175
1,2026-02-17 09:00:00,116.64,9.536,1081.55,0.974,59.95,16.365
1,2026-02-17 09:10:00,116.61,5.407,608.15,0.957,59.92,16.469
1,2026-02-17 09:20:00,119.02,4.759,509.14,0.876,59.92,16.553
1,2026-02-17 09:30:00,118.81,6.664,715.74,0.894,59.95,16.677
1,2026-02-17 09:40:00,119.41,3.034,298.96,0.825,59.96,16.727
1,2026-02-17 09:50:00,119.78,3.037,328.52,0.874,59.98,16.776
1,2026-02-17 10:00:00,120.27,3.007,297.6,0.824,59.95,16.828
1,2026-02-17 10:10:00,119.11,2.84,291.21,0.852,59.95,16.871
1,2026-02-17 10:20:00,120.16,2.219,221.93,0.837,59.98,16.916
1,2026-02-17 10:30:00,120.2,2.375,236.62,0.829,59.97,16.955
1,2026-02-17 10:40:00,119.92,3.514,372.43,0.865,59.99,17.014
1,2026-02-17 10:50:00,120.07,2.985,306.98,0.847,59.98,17.065
1,2026-02-17 11:00:00,119.8,2.504,257.41,0.845,59.94,17.103
1,2026-02-17 11:10:00,118.87,3.904,405.74,0.856,59.95,17.168
1,2026-02-17 11:20:00,119.1,3.691,400.96,0.884,59.97,17.224
1,2026-02-17 11:30:00,119.99,2.831,278.88,0.823,59.94,17.273
1,2026-02-17 11:40:00,119.83,2.098,207.39,0.825,59.98,17.31
1,2026-02-17 11:50:00,119.32,3.077,305.96,0.834,59.99,17.359
1,2026-02-17 12:00:00,118.84,3.274,351.36,0.871,59.95,17.41
1,2026-02-17 12:10:00,118.94,3.956,411.97,0.864,59.95,17.493
1,2026-02-17 12:20:00,118.97,3.588,394.52,0.894,59.96,17.564
1,2026-02-17 12:30:00,119.48,5.29,566.28,0.884,59.94,17.656
1,2026-02-17 12:40:00,119.55,3.424,360.61,0.866,59.94,17.72
1,2026-02-17 12:50:00,119.25,2.861,296.43,0.86,59.95,17.773
1,2026-02-17 13:00:00,119.65,3.051,301.46,0.826,59.95,17.823
1,2026-02-17 13:10:00,120.6,1.703,172.41,0.84,59.97,17.854
1,2026-02-17 13:20:00,119.62,2.999,296.08,0.827,59.94,17.903
1,2026-02-17 13:30:00,119.171,1.654,165.286,0.837,59.986,17.933
1,2026-02-17 13:40:00,118.88,3.387,338.76,0.835,59.99,17.983
1,2026-02-17 13:50:00,120.42,1.594,161.69,0.844,59.94,18.011
1,2026-02-17 14:00:00,119.11,2.854,282.19,0.83,59.94,18.061
1,2026-02-17 14:10:00,118.01,2.548,259.33,0.85,59.93,18.103
1,2026-02-17 14:20:00,118.49,3.303,339.93,0.855,59.96,18.162
1,2026-02-17 14:30:00,119.14,2.7,274.98,0.846,59.94,18.201
1,2026-02-17 14:40:00,120.98,2.392,239.78,0.832,59.95,18.243
1,2026-02-17 14:50:00,120.76,2.475,258.77,0.852,59.97,18.285
1,2026-02-17 15:00:00,119.59,4.587,533.13,0.958,59.97,18.378
1,2026-02-17 15:10:00,121.59,2.64,290.75,0.877,59.91,18.42
1,2026-02-17 15:20:00,121.12,3.559,376.93,0.858,59.95,18.484
1,2026-02-17 15:30:00,121.06,3.883,398.54,0.84,59.98,18.552
1,2026-02-17 15:40:00,120.74,3.348,336.03,0.832,59.93,18.608
1,2026-02-17 15:50:00,121.6,1.731,174.89,0.829,59.98,18.64
1,2026-02-17 16:00:00,121.03,4.652,487.43,0.85,59.95,18.713
1,2026-02-17 16:10:00,120.62,6.158,704.73,0.951,59.98,18.823
1,2026-02-17 16:20:00,121.488,2.953,295.088,0.821,59.975,18.881
1,2026-02-17 16:30:00,121.467,1.946,193.744,0.819,59.933,18.912
1,2026-02-17 16:40:00,120.844,3.137,311.289,0.82,59.944,18.965
1,2026-02-17 16:50:00,121.68,2.469,258.68,0.863,59.96,19.008
1,2026-02-17 17:00:00,121.97,3.471,369.06,0.873,59.96,19.07
1,2026-02-17 17:10:00,121.83,2.666,287.72,0.886,59.94,19.12
1,2026-02-17 17:20:00,117.84,3.474,363.03,0.885,59.96,19.181
1,2026-02-17 17:30:00,124.76,4.112,439.4,0.859,59.97,19.248
1,2026-02-17 17:40:00,121.23,5.538,524.93,0.787,59.93,19.335
